Designator,Footprint,Quantity,Value,LCSC Part #
J2,FFCｺﾈｸﾀ_FPC-SMD_P0.50-8P_FGS-XJ-H2.0,1,Conn_01x8_Pin + 2,C262264
"SW10, SW11, SW7, SW8, SW9",SW-TH_L6.2-W6.2-P5.00,5,SW_PUSH,
