Designator,Footprint,Quantity,Value,LCSC Part #
J4,FFCｺﾈｸﾀ_FPC-SMD_P0.50-8P_FGS-XJ-H2.0,1,Conn_01x8_Pin + 2,C262264
SW12,SW-TH_CEN971112R02,1,RotaryEncoder,C400278
"SW2, SW3, SW4, SW5, SW6",SW-TH_L6.2-W6.2-P5.00,5,SW_PUSH,C400268
